,label,recall,precision,size
0,0,0.9142259414225942,0.7789661319073083,478
1,1,0.8589743589743589,0.8375,156
2,2,0.973973973973974,0.9620962425840475,2997
3,3,0.6333333333333333,0.6785714285714286,30
4,4,0.7619047619047619,0.8648648648648649,42
5,5,0.0,0.0,117
